id_tempat_wisata,kabupaten,nama_tempat_wisata,rating,kategori,jumlah_ulasan,latitude,longitude,google_maps_link,,,,,,,,,,,,
38570,Sleman,Candi Barong,4.6,Wisata Alam,703,-7.7756537,110.4973011,https://www.google.com/maps/search/Candi%20Barong,,,,,,,,,,,,
74b30,Kota Yogyakarta,Candi Brahma,4.6,Wisata Budaya dan Sejarah,118,-7.7522757,110.4912209,https://www.google.com/maps/search/Candi%20Brahma,,,,,,,,,,,,
f8f30,Kota Yogyakarta,Candi Bubrah,4.3,Wisata Budaya dan Sejarah,304,-7.7465277,110.4929268,https://www.google.com/maps/search/Candi%20Bubrah,,,,,,,,,,,,
47fe0,Sleman,Candi Card,5,Wisata Budaya dan Sejarah,7,-7.702717,110.4110383,https://www.google.com/maps/search/Candi%20Card,,,,,,,,,,,,
07ac0,Sleman,Candi Dawangsari,4.3,Wisata Budaya dan Sejarah,56,-7.7743486,110.4973873,https://www.google.com/maps/search/Candi%20Dawangsari,,,,,,,,,,,,
54fc0,Gunungkidul,Candi Dengok,4.1,Wisata Budaya dan Sejarah,82,-8.009925,110.607958,https://www.google.com/maps/search/Candi%20Dengok,,,,,,,,,,,,
56700,Kota Yogyakarta,Candi Donotirto,4.4,Wisata Budaya dan Sejarah,285,-7.7955613,110.3612095,https://www.google.com/maps/search/Candi%20Donotirto,,,,,,,,,,,,
fcdf0,Kota Yogyakarta,Candi Gampingan,4.2,Wisata Budaya dan Sejarah,120,-7.8356977,110.4372348,https://www.google.com/maps/search/Candi%20Gampingan,,,,,,,,,,,,
5d700,Kota Yogyakarta,Candi Gana,4.2,Wisata Budaya dan Sejarah,154,-7.7439064,110.4961559,https://www.google.com/maps/search/Candi%20Gana,,,,,,,,,,,,
55470,Kota Yogyakarta,Candi Garuda,4.6,Wisata Budaya dan Sejarah,43,-7.7516189,110.4916474,https://www.google.com/maps/search/Candi%20Garuda,,,,,,,,,,,,
cc860,Kota Yogyakarta,Candi Gebang,4.5,Wisata Budaya dan Sejarah,652,-7.7514654,110.4162887,https://www.google.com/maps/search/Candi%20Gebang,,,,,,,,,,,,
59da0,Bantul,Candi Ibu Maria Bunda Penuh Kasih,4.8,Wisata Budaya dan Sejarah,53,-7.8471609,110.2877556,https://www.google.com/maps/search/Candi%20Ibu%20Maria%20Bunda%20Penuh%20Kasih,,,,,,,,,,,,
37060,Kota Yogyakarta,Candi Ijo,4.7,Wisata Budaya dan Sejarah,1740,-7.783381475,110.5104366,https://www.google.com/maps/search/Candi%20Ijo,,,,,,,,,,,,
